"Name","Country","Region","Winery","Rating","NumberOfRatings","Price","Year"
"Alberta Annemarie Merlot 2015","South Africa","Stellenbosch","Muratie",4.1,334,14.19,"2015"
"Alberta Annemarie Merlot 2016","South Africa","Stellenbosch","Muratie",3.9,76,14.21,"2016"
"Albis 2016","Chile","Maipo Valley","Haras de Pirque",4.3,28,49,"2016"
"Alboreto Nobile di Montepulciano 2016","Italy","Vino Nobile di Montepulciano","Talosa",3.9,108,14.13,"2016"
"Aldone 2015","Italy","Toscana","Terre del Marchesato",4.2,70,58,"2015"
"Alejandro Ribera del Duero 2016","Spain","Ribera del Duero","Condado de Haza",3.6,30,14.13,"2016"
"Alentejano Moon Harvested 2018","Portugal","Alentejano","Herdade dos Grous",4.3,145,26.9,"2018"
"Alentejano Reserva Tinto 2015","Portugal","Alentejano","Herdade dos Grous",4.3,255,44.73,"2015"
"Alentejano Reserva Tinto 2016","Portugal","Alentejano","Herdade dos Grous",4.3,123,37.9,"2016"
"Alentejano Reserva Tinto 2016","Portugal","Alentejano","Terra d'Alter",4.1,141,8.45,"2016"
"Alentejano Tinto 2011","Portugal","Alentejano","Herdade do Rocim",3.6,609,11.2,"2011"
"Alentejano Tinto 2014","Portugal","Alentejano","Monte do Pintor",3.9,671,16.38,"2014"
"Alentejano Tinto 2017","Portugal","Alentejano","Herdade dos Grous",4,2563,15.84,"2017"
"Alentejano Tinto 2018","Portugal","Alentejano","Fitapreta",4,359,11.7,"2018"
"Alentejano Tinto 2018","Portugal","Alentejano","Herdade dos Grous",4.1,382,11.89,"2018"
"Alentejano Tinto 2018","Portugal","Alentejo","Vinha do Monte",3.6,80,9.21,"2018"
"Alentejano Tonel Nº 3 - 4 2013","Portugal","Alentejano","Mouchão",4.6,205,136.47,"2013"
"Alentejo Dom Rafael Tinto 2014","Portugal","Alentejo","Mouchão",3.7,956,9.36,"2014"
"Alexander (The Great) 2015","Spain","Ribera del Duero","Casa Rojo",4.1,1504,27.25,"2015"
"Alfa Spiga Ribera del Duero 2005","Spain","Ribera del Duero","O. Fournier",4,87,69.99,"2005"
"Alfredo Dried Grape Shiraz 2016","Australia","South Australia","Nugan",3.8,125,22.59,"2016"
"Alfredo Second Pass Shiraz 2015","Australia","New South Wales","Nugan",3.7,372,14.29,"2015"
"Ali Toscana Sangiovese 2018","Italy","Toscana","Donna Laura",3.9,176,7.95,"2018"
"Alicante - Mourvèdre 2013","Chile","Maule Valley","Erasmo",3.5,138,18,"2013"
"Alicante 2016","Spain","Alicante","El Sequé",4,162,24.18,"2016"
"Alicante 2017","Spain","Alicante","El Sequé",4,51,24.18,"2017"
"Alicante Bouschet - Cabernet Sauvignon 2015","Portugal","Lisboa","Brutalis",4.2,429,27.9,"2015"
"Alicante Bouschet 2014","Portugal","Alentejano","Herdade do Rocim",4,237,14.62,"2014"
"Aliotto Toscana 2016","Italy","Toscana","Tenuta Podernovo",3.4,243,9.99,"2016"
"Alle Viole Rosso 2013","Italy","Toscana","Tenuta di Ceppaiano",3.7,175,5.8,"2013"
"Alleanza 2012","Italy","Toscana","Castello di Gabbiano",4.1,104,26.95,"2012"
"Allnatt Rouge Souplesse 2018","France","Languedoc","Paul Mas",3.8,129,7.49,"2018"
"Allomi Cabernet Sauvignon 2017","United States","Napa Valley","The Hess Collection",4.2,2381,25.5,"2017"
"Alluva Rosso 2016","Italy","Puglia","Masseria Pietrosa",3.9,177,23.88,"2016"
"Almaviva 2017","Chile","Puente Alto","Almaviva",4.6,391,173.63,"2017"
"Almiréz 2015","Spain","Toro","Teso La Monja",3.9,1420,15.9,"2015"
"Almiréz 2016","Spain","Toro","Teso La Monja",4,1046,14.95,"2016"
"Aloxe-Corton 2014","France","Aloxe-Corton","Olivier Leflaive",3.9,86,49.99,"2014"
"Alpberg Pinot Noir 2017","Switzerland","Aargau","Hauksson",4.2,27,36.9,"2017"
"Alta Colección Cabernet Sauvignon Mendoza 2018","Argentina","Mendoza","Bodega Piedra Negra",3.9,41,8.99,"2018"
"Alta Colección Malbec Mendoza 2019","Argentina","Mendoza","Bodega Piedra Negra",4,245,8.99,"2019"
"Alta Malbec (Barrancas Vineyards) 2013","Argentina","Mendoza","Pascual Toso",4.3,473,34.54,"2013"
"Alta Mora Etna Rosso 2014","Italy","Etna","Cusumano",3.8,937,29.95,"2014"
"Alta Mora Etna Rosso 2017","Italy","Etna","Cusumano",3.7,137,12.95,"2017"
"Altavilla della Corte Cabernet Sauvignon 2017","Italy","Terre Siciliane","Firriato",3.7,47,9.85,"2017"
"Altavilla della Corte Syrah 2016","Italy","Terre Siciliane","Firriato",3.6,36,10.85,"2016"
"Alte Reben Eisenberg Reserve 2015","Austria","Südburgenland","Wachter-Wiesler",4.1,28,38.5,"2015"
"Alte Reben Spätburgunder 2016","Germany","Baden","Bernhard Huber",4,49,34.9,"2016"
"Alterego 2013","Italy","Monferrato","Coppo",3.5,50,18.42,"2013"
"Alterego 2015","Italy","Monferrato","Coppo",3.7,46,18.42,"2015"
"Altero Brunello di Montalcino 2012","Italy","Brunello di Montalcino","Poggio Antico",4.3,253,66.99,"2012"
"Altero Etna Rosso 2013","Italy","Etna","Theresa Eccher",3.9,29,58.44,"2013"
"Altitud Cabernet Sauvignon 2014","Argentina","Tupungato","Andeluna",3.8,760,13.26,"2014"
"Altitud Cabernet Sauvignon 2016","Argentina","Tupungato","Andeluna",3.6,62,16.17,"2016"
